GM040224,50.193.103.35     ,24:de:c6:cd:b5:10
GM042660,162.17.189.123    ,24:de:c6:ce:44:23
GM043467,75.150.241.235    ,24:de:c6:cc:b7:4e
GM045026,50.244.27.203     ,9c:1c:12:c8:a2:ab
GM045319,50.244.4.115      ,f4:2e:7f:c1:13:c6
GM045716,74.93.78.35       ,90:4c:81:c6:d1:d8
GM045716,74.93.78.37       ,90:4c:81:c6:e3:92
GM045772,50.79.25.11       ,9c:1c:12:c8:a2:5e
GM045790,173.161.7.99      ,24:de:c6:ce:43:8f
GM045874,173.15.115.115    ,9c:1c:12:c8:a2:a4
GM046126,173.161.3.35      ,84:d4:7e:c0:5d:f4
GM046133,173.165.95.35     ,24:de:c6:ce:43:1f
GM046213,50.241.56.251     ,24:de:c6:ce:43:18
GM046427,173.161.9.3       ,24:de:c6:ce:43:49
GM046531,74.93.77.179      ,9c:1c:12:c8:a2:d4
GM047218,50.243.109.91     ,24:de:c6:ce:42:3b
GM047487,50.243.108.211    ,24:de:c6:ce:49:80
GM047668,198.0.50.12       ,24:de:c6:ce:49:76
GM048328,50.243.110.91     ,24:de:c6:ce:86:82
GM048336,50.244.192.211    ,9c:1c:12:c9:17:f1
GM048960,50.244.194.107    ,24:de:c6:ce:4a:4b
GM049989,50.244.193.99     ,70:3a:0e:c7:46:74
GM050731,50.243.107.227    ,9c:1c:12:c9:76:bc
GM050995,50.241.62.91      ,d0:15:a6:c0:60:5c
GM051025,50.245.134.27     ,9c:1c:12:c9:75:b3
GM052020,50.244.51.123     ,9c:1c:12:c9:ec:b0
GM052139,50.244.12.195     ,9c:1c:12:c9:ec:39
GM052225,50.240.131.212    ,9c:1c:12:c9:ec:98
GM052610,173.15.114.35     ,9c:1c:12:c9:ed:79
GM052640,173.165.112.196   ,9c:1c:12:c9:ea:a1
GM052640,173.165.112.195   ,9c:1c:12:c9:ec:41
GM053949,50.243.108.219    ,9c:1c:12:c9:7b:43
GM055336,50.247.131.163    ,9c:1c:12:c9:eb:c5
GM055640,50.244.54.235     ,9c:1c:12:c9:78:8c
GM056614,50.244.40.155     ,9c:1c:12:c9:7c:ce
GM057497,50.247.188.123    ,9c:1c:12:c9:7b:bc
GM057671,50.247.188.107    ,9c:1c:12:c9:7a:be
GM058257,50.248.203.243    ,9c:1c:12:c9:72:c9
GM058505,4.35.105.187      ,24:de:c6:cc:b7:5d
GM058741,50.247.151.219    ,9c:1c:12:c9:7c:31
GM058828,50.244.34.251     ,9c:1c:12:c9:72:3d
GM058959,50.247.154.43     ,18:64:72:ce:58:68
GM060109,50.248.217.59     ,9c:1c:12:c9:8e:ff
GM060133,50.248.220.123    ,9c:1c:12:c9:7d:7a
GM060513,50.248.205.139    ,9c:1c:12:ca:40:e2
GM061340,50.250.128.131    ,9c:1c:12:c9:70:df
GM061861,50.248.220.227    ,24:de:c6:cc:b7:4b
GM062121,50.251.195.139    ,9c:1c:12:ca:43:84
